bin_index,bin_id,city,area_type,land_use_subtype,neighborhood,bin_volume_liter,nominal_mass_capacity_kg,latitude,longitude,placement,nearby_business_type,nearby_poi_type,population_density,catchment_population_equivalent,income_band,per_capita_waste_kg_day,bin_capture_fraction,density_load_multiplier,baseline_generation_kg_per_hour,road_accessibility,collection_service_level,collection_interval_hours,informal_recovery_rate,collection_threshold_percent,battery_drain_percent_per_hour,friday_prayer_multiplier,eid_day_multiplier,base_composition_percent
10,DH-00011,Dhaka,Residential,Dense Residential,Gulshan/Banani,360.0,64.8,23.799074,90.39602,Roadside,Restaurant,None,High,199,Lower-middle,0.3285991,0.37195614,1.15,1.1822674,Easy,Good,5,0.09477747,75.0,0.030877188,4.374229,4.051495,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
11,DH-00012,Dhaka,Garments,Garment Factory,Mirpur,1100.0,198.00002,23.81222,90.35084,Office,Market,Office,High,240,NA,,,1.15,1.6842425,Moderate,Moderate,6,0.35664538,75.0,0.029544856,3.9374788,1.0,10.000000;1.000000;1.000000;12.000000;8.000000;58.000000;4.000000;6.000000
12,DH-00013,Dhaka,Market,Fish Market,Motijheel,1100.0,198.00002,23.737265,90.41446,Near market,Market,Market,Medium,138,NA,,,1.0,1.9189402,Difficult,Moderate,4,0.08197937,75.0,0.019185565,4.474003,1.9726213,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
13,DH-00014,Dhaka,Recreation,Park,Motijheel,240.0,43.2,23.734955,90.394615,Roadside,Market,Mosque,Medium,75,NA,,,1.0,0.4707006,Easy,Good,7,0.06936336,80.0,0.03013378,4.330902,1.3743672,30.000004;1.000000;1.000000;35.000004;15.000002;2.000000;4.000000;12.000000
14,DH-00015,Dhaka,Residential,Dense Residential,Gulshan/Banani,360.0,64.8,23.778706,90.41604,Roadside,None,Market,High,175,Upper-middle,0.34985355,0.49246866,1.15,1.6639479,Easy,Good,5,0.071351424,75.0,0.02912796,3.5640717,6.7269106,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
15,DH-00016,Dhaka,Education,College/University,Motijheel,660.0,118.8,23.733982,90.41129,Roadside,Market,School,Medium,122,NA,,,1.0,0.74434656,Easy,Moderate,8,0.15020974,80.0,0.021395754,3.019398,1.0,30.000002;2.000000;1.000000;22.000000;25.000000;4.000000;4.000000;12.000000
16,DH-00017,Dhaka,Residential,Apartment Residential,Mirpur,240.0,43.2,23.814949,90.36744,Roadside,None,Market,Medium,143,Upper-middle,0.4158993,0.52658606,1.0,1.3883946,Moderate,Moderate,6,0.113332644,80.0,0.027516816,3.2172253,4.0534563,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
17,DH-00018,Dhaka,Education,School,Gulshan/Banani,360.0,64.8,23.781712,90.41155,Roadside,None,School,Medium,108,NA,,,1.0,0.52198476,Easy,Good,7,0.1235748,80.0,0.025718601,3.3281085,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
18,DH-00019,Dhaka,Residential,Dense Residential,Motijheel,360.0,64.8,23.734278,90.44826,Indoor,Market,None,High,179,Middle,0.34802487,0.5805207,1.15,1.7871088,Moderate,Moderate,6,0.063277684,75.0,0.032439418,3.4620707,6.3536587,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
19,DH-00020,Dhaka,Slum,Informal Settlement,Mirpur,240.0,43.2,23.80796,90.37066,Near market,None,None,High,236,Low,0.30083397,0.42730287,1.15,1.4895679,Difficult,Limited,8,0.15820864,72.0,0.028257405,3.3403986,4.75185,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
20,DH-00021,Dhaka,Education,School,Dhanmondi,360.0,64.8,23.74135,90.36876,School,None,Mosque,Medium,125,NA,,,1.0,0.50619715,Easy,Good,7,0.070785396,80.0,0.02251078,3.925876,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
21,DH-00022,Dhaka,Residential,Dense Residential,Gulshan/Banani,660.0,118.8,23.787935,90.43137,Roadside,Market,Mosque,High,296,Upper-middle,0.4208739,0.64153653,1.15,3.916673,Difficult,Limited,8,0.09948078,75.0,0.020119607,4.486732,5.0665274,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
22,DH-00023,Dhaka,Slum,Informal Settlement,Motijheel,360.0,64.8,23.724781,90.414055,Roadside,Market,None,High,178,Low,0.24609815,0.51988506,1.15,0.93771183,Moderate,Moderate,6,0.1951945,72.0,0.030777404,4.2558765,3.7582521,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
23,DH-00024,Dhaka,Education,School,Old Dhaka,240.0,43.2,23.704742,90.401024,School,Market,School,Medium,129,NA,,,1.0,0.5835933,Moderate,Moderate,8,0.08092241,80.0,0.0319225,4.366191,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
24,DH-00025,Dhaka,Market,Fish Market,Dhanmondi,1100.0,198.00002,23.733511,90.36822,Roadside,Market,Mosque,High,247,NA,,,1.15,2.4477506,Easy,Good,4,0.07171792,75.0,0.026543994,3.513796,2.8234127,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
25,DH-00026,Dhaka,Commercial,Restaurant/Food Zone,Motijheel,660.0,118.8,23.72123,90.41689,Office,Shopping,None,Medium,91,NA,,,1.0,0.9845323,Easy,Good,5,0.16152118,80.0,0.031086003,3.357024,1.5413439,55.000000;8.000000;1.000000;18.000000;8.000000;2.000000;3.000000;5.000000
26,DH-00027,Dhaka,Office,Private Office,Old Dhaka,660.0,118.8,23.715048,90.421074,Roadside,Restaurant,None,Medium,90,NA,,,1.0,0.57726836,Moderate,Moderate,8,0.22743967,80.0,0.033979554,3.7803445,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
27,DH-00028,Dhaka,Commercial,Restaurant/Food Zone,Mirpur,1100.0,198.00002,23.802256,90.3711,Near market,Office,Market,High,230,NA,,,1.15,2.206881,Moderate,Moderate,6,0.1703863,75.0,0.022591144,3.5715997,1.4246252,55.000000;8.000000;1.000000;18.000000;8.000000;2.000000;3.000000;5.000000
28,DH-00029,Dhaka,Office,Government Office,Motijheel,240.0,43.2,23.733385,90.416504,Office,Restaurant,Office,High,251,NA,,,1.15,1.0587443,Moderate,Good,7,0.16492258,75.0,0.028832665,4.6992784,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
29,DH-00030,Dhaka,Residential,Dense Residential,Dhanmondi,660.0,118.8,23.750078,90.357544,Roadside,None,School,High,261,Low,0.29401794,0.50510365,1.15,1.6795992,Moderate,Moderate,6,0.10864934,75.0,0.023612108,3.1062677,5.47731,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
30,DH-00031,Dhaka,Office,Private Office,Gulshan/Banani,360.0,64.8,23.79143,90.417534,Office,Restaurant,Mosque,Medium,72,NA,,,1.0,0.54211026,Moderate,Good,7,0.13484806,80.0,0.020036945,4.9648194,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
31,DH-00032,Dhaka,Market,Fish Market,Motijheel,1100.0,198.00002,23.730059,90.39411,Roadside,Restaurant,None,Medium,145,NA,,,1.0,1.5535325,Difficult,Limited,6,0.07564386,75.0,0.01923779,3.205176,1.9593309,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
32,DH-00033,Dhaka,Garments,Garment Factory,Dhanmondi,1100.0,198.00002,23.741934,90.37257,Office,Market,Market,Medium,149,NA,,,1.0,1.3852452,Moderate,Moderate,6,0.3501304,80.0,0.03046057,3.8817236,1.0,10.000000;1.000000;1.000000;12.000000;8.000000;58.000000;4.000000;6.000000
33,DH-00034,Dhaka,Market,Fish Market,Mirpur,1100.0,198.00002,23.800348,90.35626,Near market,Market,Mosque,High,359,NA,,,1.15,4.158877,Moderate,Moderate,4,0.048890907,75.0,0.03441489,3.002313,2.7268534,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
34,DH-00035,Dhaka,Slum,Informal Settlement,Gulshan/Banani,360.0,64.8,23.781645,90.400055,Near market,Restaurant,Market,High,171,Low,0.29349083,0.6397568,1.15,1.4072658,Moderate,Good,5,0.08700975,72.0,0.034529325,4.0661354,3.232788,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
35,DH-00036,Dhaka,Residential,Apartment Residential,Old Dhaka,360.0,64.8,23.716955,90.39651,Roadside,Market,School,High,274,Middle,0.36349887,0.43687657,1.15,2.374703,Moderate,Good,5,0.11062964,75.0,0.021274302,4.2342625,4.056544,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
36,DH-00037,Dhaka,Office,Private Office,Motijheel,360.0,64.8,23.726091,90.41648,Office,Restaurant,None,Medium,146,NA,,,1.0,0.5799764,Easy,Good,7,0.17974742,80.0,0.030529618,4.971833,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
37,DH-00038,Dhaka,Market,General Market,Dhanmondi,1100.0,198.00002,23.737516,90.381676,Near market,Restaurant,Market,Medium,184,NA,,,1.0,1.5057958,Moderate,Moderate,4,0.09846488,75.0,0.028563015,4.1595125,2.1697576,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
38,DH-00039,Dhaka,Market,General Market,Old Dhaka,1100.0,198.00002,23.710869,90.41505,Roadside,Market,None,Medium,154,NA,,,1.0,1.1979803,Difficult,Limited,6,0.078660004,75.0,0.023238972,3.8236287,1.9544977,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
39,DH-00040,Dhaka,Market,Vegetable Market,Old Dhaka,1100.0,198.00002,23.703186,90.41878,Roadside,Market,Market,Low,52,NA,,,0.85,1.0522358,Difficult,Limited,6,0.09541264,75.0,0.021407247,3.172298,2.939166,60.000004;2.000000;1.000000;12.000000;4.000000;1.000000;2.000000;18.000000
40,DH-00041,Dhaka,Market,Fish Market,Gulshan/Banani,1100.0,198.00002,23.78766,90.40395,Near market,Restaurant,Market,High,292,NA,,,1.15,3.2107022,Easy,Good,4,0.05739687,75.0,0.029218346,4.198577,1.8881692,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
41,DH-00042,Dhaka,Recreation,Park,Dhanmondi,360.0,64.8,23.771286,90.36854,Park,None,Mosque,Low,98,NA,,,0.85,0.37882212,Moderate,Moderate,8,0.08143041,85.0,0.02277308,4.7778416,1.331238,30.000004;1.000000;1.000000;35.000004;15.000002;2.000000;4.000000;12.000000
42,DH-00043,Dhaka,Market,Fish Market,Mirpur,660.0,118.8,23.814154,90.372826,Roadside,Market,Market,High,379,NA,,,1.15,4.383258,Moderate,Moderate,4,0.11551624,75.0,0.02402545,4.467775,2.2162983,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
43,DH-00044,Dhaka,Education,School,Old Dhaka,360.0,64.8,23.712934,90.43107,Roadside,None,School,High,247,NA,,,1.15,0.9875349,Easy,Good,7,0.15431198,75.0,0.031559713,4.305225,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
44,DH-00045,Dhaka,Residential,Dense Residential,Old Dhaka,660.0,118.8,23.7022,90.38666,Roadside,Restaurant,None,High,282,Lower-middle,0.293754,0.44549802,1.15,1.7796252,Easy,Good,5,0.12741342,75.0,0.020588433,3.7093687,6.9070163,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
45,DH-00046,Dhaka,Market,General Market,Motijheel,660.0,118.8,23.734638,90.399445,Near market,Restaurant,Market,High,201,NA,,,1.15,1.2818286,Moderate,Good,4,0.07408767,75.0,0.024400255,4.826154,2.0477693,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
46,DH-00047,Dhaka,Residential,Dense Residential,Gulshan/Banani,360.0,64.8,23.79412,90.41872,Indoor,Market,None,High,333,Middle,0.4172347,0.36846143,1.15,2.0256245,Easy,Moderate,6,0.052232735,75.0,0.023404304,4.0337334,4.244777,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
47,DH-00048,Dhaka,Residential,Apartment Residential,Dhanmondi,240.0,43.2,23.758284,90.3747,Indoor,None,None,Medium,71,Low,0.27656007,0.39683703,1.0,0.3832812,Difficult,Limited,8,0.08903636,80.0,0.018167356,4.6807604,5.0203085,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
48,DH-00049,Dhaka,Residential,Apartment Residential,Motijheel,360.0,64.8,23.727837,90.4194,Roadside,Market,Mosque,Low,70,Low,0.24161068,0.36043483,0.85,0.18936637,Easy,Moderate,6,0.09206668,85.0,0.029674612,3.5856965,5.0882754,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
49,DH-00050,Dhaka,Market,Vegetable Market,Mirpur,1100.0,198.00002,23.80248,90.36921,Near market,Restaurant,None,Low,30,NA,,,0.85,0.5701955,Easy,Good,4,0.10742817,75.0,0.024294415,3.1363168,2.6559713,60.000004;2.000000;1.000000;12.000000;4.000000;1.000000;2.000000;18.000000
50,DH-00051,Dhaka,Commercial,Shopping,Old Dhaka,360.0,64.8,23.72169,90.41376,Roadside,Shopping,None,High,190,NA,,,1.15,1.4734232,Difficult,Limited,8,0.18442969,75.0,0.024837427,4.4632316,1.0,20.000000;2.000000;1.000000;30.000002;20.000000;8.000000;8.000000;11.000000
51,DH-00052,Dhaka,Market,General Market,Old Dhaka,660.0,118.8,23.70326,90.42527,Roadside,Market,Mosque,Low,83,NA,,,0.85,0.6045642,Moderate,Moderate,4,0.08897532,75.0,0.03075708,3.0897934,2.3815336,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
52,DH-00053,Dhaka,Recreation,Playground,Motijheel,360.0,64.8,23.738592,90.406456,Roadside,None,Park,Low,99,NA,,,0.85,0.2695194,Easy,Moderate,8,0.06346208,85.0,0.02233518,3.1253386,1.6403631,25.000000;1.000000;1.000000;38.000000;18.000000;2.000000;4.000000;11.000000
53,DH-00054,Dhaka,Office,Government Office,Old Dhaka,660.0,118.8,23.70414,90.385185,Roadside,Office,None,High,309,NA,,,1.15,1.066631,Moderate,Moderate,8,0.11988885,75.0,0.028911658,3.7162027,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
54,DH-00055,Dhaka,Recreation,Playground,Motijheel,660.0,118.8,23.749977,90.421974,Roadside,Market,None,Medium,88,NA,,,1.0,0.35440993,Easy,Good,7,0.06191887,80.0,0.021050155,4.006097,1.4051608,25.000000;1.000000;1.000000;38.000000;18.000000;2.000000;4.000000;11.000000
55,DH-00056,Dhaka,Education,School,Dhanmondi,360.0,64.8,23.752424,90.37245,Roadside,Market,School,Medium,76,NA,,,1.0,0.40878174,Difficult,Moderate,8,0.073389724,80.0,0.03345676,3.1870446,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
56,DH-00057,Dhaka,Residential,Dense Residential,Gulshan/Banani,240.0,43.2,23.777142,90.40796,Roadside,Market,None,High,293,Middle,0.36792994,0.46367785,1.15,2.2245803,Easy,Good,5,0.070808224,75.0,0.03417521,4.6171265,4.4821734,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
57,DH-00058,Dhaka,Residential,Dense Residential,Dhanmondi,240.0,43.2,23.74138,90.36871,Roadside,None,None,High,321,Low,0.2678052,0.47637895,1.15,1.8523529,Easy,Good,5,0.13426735,75.0,0.023773799,4.417359,5.7148776,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
58,DH-00059,Dhaka,Residential,Apartment Residential,Mirpur,360.0,64.8,23.811625,90.38397,Roadside,None,Mosque,Medium,104,Lower-middle,0.28648573,0.37619528,1.0,0.48811758,Easy,Good,5,0.06751054,80.0,0.025439195,3.0962324,5.2515883,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
59,DH-00060,Dhaka,Market,General Market,Old Dhaka,1100.0,198.00002,23.72377,90.411354,Roadside,Restaurant,Market,High,189,NA,,,1.15,1.6449766,Moderate,Moderate,4,0.09225447,75.0,0.021711404,3.967305,2.095551,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
60,DH-00061,Dhaka,Slum,Informal Settlement,Gulshan/Banani,360.0,64.8,23.789131,90.410904,Roadside,None,None,High,162,Low,0.3063147,0.6372001,1.15,1.5725414,Moderate,Moderate,6,0.19752021,72.0,0.027144369,3.7052662,4.6460314,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
61,DH-00062,Dhaka,Office,Private Office,Old Dhaka,240.0,43.2,23.711227,90.41042,Office,Restaurant,None,Medium,113,NA,,,1.0,0.57090145,Moderate,Moderate,8,0.22844264,80.0,0.01992034,4.085644,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
62,DH-00063,Dhaka,Slum,Informal Settlement,Dhanmondi,240.0,43.2,23.731236,90.3731,Near market,None,Mosque,High,197,Low,0.2523536,0.45726785,1.15,1.0263505,Difficult,Limited,8,0.09994435,72.0,0.02266257,4.817137,3.576432,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
63,DH-00064,Dhaka,Recreation,Park,Old Dhaka,240.0,43.2,23.71722,90.41098,Park,Restaurant,Park,Medium,125,NA,,,1.0,0.65330064,Moderate,Moderate,8,0.06720939,80.0,0.020490596,3.2340252,1.4294816,30.000004;1.000000;1.000000;35.000004;15.000002;2.000000;4.000000;12.000000
64,DH-00065,Dhaka,Residential,Dense Residential,Dhanmondi,360.0,64.8,23.740883,90.38666,Indoor,None,Mosque,High,349,High,0.5414183,0.43248725,1.15,4.040507,Easy,Moderate,6,0.086159416,75.0,0.021195136,3.4452667,5.2826996,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
65,DH-00066,Dhaka,Recreation,Playground,Gulshan/Banani,240.0,43.2,23.786652,90.41857,Roadside,Restaurant,Park,Medium,87,NA,,,1.0,0.34462953,Moderate,Moderate,8,0.083423056,80.0,0.018558063,3.7357483,1.4490292,25.000000;1.000000;1.000000;38.000000;18.000000;2.000000;4.000000;11.000000
66,DH-00067,Dhaka,Market,Vegetable Market,Dhanmondi,1100.0,198.00002,23.745802,90.38597,Near market,Market,Market,High,159,NA,,,1.15,1.5952594,Moderate,Moderate,4,0.06814293,75.0,0.030812327,3.873531,1.854851,60.000004;2.000000;1.000000;12.000000;4.000000;1.000000;2.000000;18.000000
67,DH-00068,Dhaka,Residential,Apartment Residential,Motijheel,240.0,43.2,23.729511,90.40648,Roadside,Restaurant,Mosque,Low,30,Middle,0.3288254,0.47342372,0.85,0.16712457,Moderate,Moderate,6,0.097047515,85.0,0.024381759,3.2843482,5.8944616,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
68,DH-00069,Dhaka,Residential,Apartment Residential,Motijheel,240.0,43.2,23.744297,90.42406,Indoor,Market,None,High,190,Middle,0.36560076,0.41688266,1.15,1.3442675,Easy,Good,5,0.07799532,75.0,0.03220444,3.1939054,6.292656,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
69,DH-00070,Dhaka,Residential,Apartment Residential,Old Dhaka,360.0,64.8,23.706455,90.41971,Roadside,None,None,Medium,170,Middle,0.4051035,0.5717886,1.0,1.6389545,Moderate,Moderate,6,0.09758138,80.0,0.021841962,4.1396995,4.3111773,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
70,DH-00071,Dhaka,Education,College/University,Motijheel,360.0,64.8,23.741243,90.40482,Roadside,None,Mosque,Low,55,NA,,,0.85,0.44325006,Moderate,Moderate,8,0.1062277,85.0,0.028644873,3.3923974,1.0,30.000002;2.000000;1.000000;22.000000;25.000000;4.000000;4.000000;12.000000
71,DH-00072,Dhaka,Office,Government Office,Dhanmondi,240.0,43.2,23.744682,90.37583,Office,Restaurant,Office,High,249,NA,,,1.15,1.0912771,Moderate,Limited,10,0.13312654,75.0,0.025776448,4.413665,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
72,DH-00073,Dhaka,Slum,Informal Settlement,Dhanmondi,240.0,43.2,23.75598,90.37242,Near market,None,None,High,319,Lower-middle,0.28475896,0.5120958,1.15,2.8315587,Moderate,Moderate,6,0.16164099,72.0,0.03159094,4.500454,3.4064517,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
73,DH-00074,Dhaka,Residential,Apartment Residential,Motijheel,360.0,64.8,23.728952,90.41936,Roadside,Restaurant,Mosque,Medium,117,Lower-middle,0.32348087,0.4301868,1.0,0.59838134,Moderate,Limited,8,0.12296048,80.0,0.033069376,4.9286394,4.117758,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
74,DH-00075,Dhaka,Office,Private Office,Gulshan/Banani,660.0,118.8,23.782051,90.419426,Roadside,Restaurant,Office,Medium,130,NA,,,1.0,0.7332441,Moderate,Moderate,8,0.1157856,80.0,0.02085199,4.2830734,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
75,DH-00076,Dhaka,Commercial,Shopping,Motijheel,660.0,118.8,23.737099,90.4244,Office,Office,None,Medium,87,NA,,,1.0,0.6020827,Moderate,Good,5,0.14148374,80.0,0.024169847,3.288481,1.0,20.000000;2.000000;1.000000;30.000002;20.000000;8.000000;8.000000;11.000000
76,DH-00077,Dhaka,Residential,Dense Residential,Dhanmondi,660.0,118.8,23.751987,90.38277,Roadside,Market,None,High,153,Low,0.26476473,0.62556744,1.15,1.1071895,Moderate,Moderate,6,0.12111775,75.0,0.024167582,3.5966763,6.4457855,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
77,DH-00078,Dhaka,Office,Government Office,Mirpur,240.0,43.2,23.801086,90.36115,Office,Office,Office,High,158,NA,,,1.15,1.0668346,Moderate,Moderate,8,0.17219526,75.0,0.031398337,3.6912355,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
78,DH-00079,Dhaka,Slum,Informal Settlement,Old Dhaka,660.0,118.8,23.709879,90.42483,Roadside,None,Mosque,High,163,Lower-middle,0.27824125,0.39078227,1.15,0.92885053,Difficult,Moderate,6,0.15604739,72.0,0.029277705,4.1350675,4.402138,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
79,DH-00080,Dhaka,Slum,Informal Settlement,Dhanmondi,360.0,64.8,23.747683,90.35347,Near market,None,Mosque,High,161,Low,0.24638753,0.52939653,1.15,0.98465216,Moderate,Good,5,0.13401026,72.0,0.03247798,4.13368,3.227502,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
80,DH-00081,Dhaka,Residential,Dense Residential,Old Dhaka,660.0,118.8,23.71631,90.39743,Roadside,None,School,High,191,Middle,0.42354003,0.38583946,1.15,1.3979832,Easy,Moderate,6,0.101734705,75.0,0.022089995,4.250402,4.449288,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
81,DH-00082,Dhaka,Residential,Dense Residential,Dhanmondi,360.0,64.8,23.748045,90.38441,Indoor,Restaurant,None,High,222,Lower-middle,0.30495253,0.42840603,1.15,1.093025,Moderate,Moderate,6,0.07661711,75.0,0.03396914,3.0657504,5.124473,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
